LastSeen,IP,UID,Name,SW,Vdd,CpuTemp,AccTemp,WakeUp,AccDataX,AccDataY,AccDataZ
15/08/2016 06:16:52,62.149.145.19,00310015-4D335719-20303038,sala_big,0.7,3049,24,255,TIME,0.00,-1.39.00,0.00
15/08/2016 06:08:45,62.149.145.19,00228019-4D335719-20303038,camera_manu,0.7,3057,23,255,TIME,0.00,-1.00.00,0.00
15/08/2016 05:34:25,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3064,25,255,TIME,0.00,-1.39.00,0.00
15/08/2016 05:24:30,62.149.145.19,0010800B-4D335719-20303038,sala_small,0.8,2930,23,16,TIME,0.00,-1.38.00,0.00
15/08/2016 05:02:43,62.149.145.20,0041001D-4D335719-20303038,cucina,0.8,2948,27,19,TIME,0.00,-1.00.00,0.00
15/08/2016 04:58:52,62.149.145.20,0007800C-4D335719-20303038,studiolo,0.8,2883,24,16,TIME,0.00,-1.03.00,0.00
15/08/2016 02:40:07,62.149.145.22,00080003-4D335719-20303038,camera_max,0.7,3061,26,255,TIME,0.00,-1.05.00,0.00
15/08/2016 01:58:20,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3059,26,255,TIME,0.00,-1.02.00,0.00
15/08/2016 01:15:12,62.149.145.22,00310015-4D335719-20303038,sala_big,0.7,3051,27,255,TIME,0.00,-1.38.00,0.00
15/08/2016 01:09:16,62.149.145.22,00228019-4D335719-20303038,camera_manu,0.7,3060,26,255,TIME,0.00,-1.02.00,0.00
15/08/2016 00:38:32,62.149.145.20,0008800D-4D335719-20303038,bagno,0.7,3064,29,255,TIME,0.00,-1.39.00,0.00
15/08/2016 00:26:25,62.149.145.20,0010800B-4D335719-20303038,sala_small,0.8,2944,27,19,TIME,0.00,-1.38.00,0.00
15/08/2016 00:04:02,62.149.145.19,0007800C-4D335719-20303038,studiolo,0.8,2903,27,19,TIME,0.00,-1.01.00,0.00
15/08/2016 00:02:16,62.149.145.19,0041001D-4D335719-20303038,cucina,0.8,2965,30,23,TIME,0.00,-1.38.00,0.00
14/08/2016 21:37:35,62.149.145.22,00080003-4D335719-20303038,camera_max,0.7,3061,29,255,TIME,0.00,-1.04.00,0.00
14/08/2016 20:58:34,62.149.145.20,00440005-4D335719-20303038,corridoio,0.7,3061,30,255,TIME,0.00,-1.02.00,0.00
14/08/2016 20:13:43,62.149.145.24,00310015-4D335719-20303038,sala_big,0.7,3049,30,255,TIME,0.00,-1.38.00,0.00
14/08/2016 20:09:52,62.149.145.24,00228019-4D335719-20303038,camera_manu,0.7,3062,30,255,TIME,0.00,-1.02.00,0.00
14/08/2016 19:43:03,62.149.145.23,0008800D-4D335719-20303038,bagno,0.7,2888,36,33,TIME,0.00,-1.38.00,0.00
14/08/2016 19:28:23,62.149.145.23,0010800B-4D335719-20303038,sala_small,0.8,2963,31,24,TIME,0.00,-1.38.00,0.00
14/08/2016 19:09:26,62.149.145.23,0007800C-4D335719-20303038,studiolo,0.8,2920,32,24,TIME,0.00,-1.01.00,0.00
14/08/2016 19:02:02,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2986,36,29,TIME,0.00,-1.38.00,0.00
14/08/2016 16:35:25,62.149.145.20,00080003-4D335719-20303038,camera_max,0.7,3059,33,27,TIME,0.00,-1.04.00,0.00
14/08/2016 15:59:17,62.149.145.21,00440005-4D335719-20303038,corridoio,0.7,3051,30,255,TIME,0.00,-1.03.00,0.00
14/08/2016 15:12:34,62.149.145.20,00310015-4D335719-20303038,sala_big,0.7,3040,33,26,TIME,0.00,-1.38.00,0.00
14/08/2016 15:10:51,62.149.145.20,00228019-4D335719-20303038,camera_manu,0.7,3064,33,27,TIME,0.00,-1.01.00,0.00
14/08/2016 14:49:07,62.149.145.24,0008800D-4D335719-20303038,bagno,0.7,3044,32,255,TIME,0.00,-1.39.00,0.00
14/08/2016 14:30:30,62.149.145.24,0010800B-4D335719-20303038,sala_small,0.8,2979,33,27,TIME,0.00,-1.38.00,0.00
14/08/2016 14:15:17,62.149.145.24,0007800C-4D335719-20303038,studiolo,0.8,2883,34,27,TIME,0.00,-1.01.00,0.00
14/08/2016 14:02:48,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2972,42,35,TIME,0.00,-1.38.00,0.00
14/08/2016 11:33:44,62.149.145.21,00080003-4D335719-20303038,camera_max,0.7,3058,40,34,TIME,0.00,-1.04.00,0.00
14/08/2016 10:59:39,62.149.145.22,00440005-4D335719-20303038,corridoio,0.7,3050,27,255,TIME,0.00,-1.02.00,0.00
14/08/2016 10:12:32,62.149.145.24,00228019-4D335719-20303038,camera_manu,0.7,3051,41,35,TIME,0.00,-1.02.00,0.00
14/08/2016 10:12:08,62.149.145.24,00310015-4D335719-20303038,sala_big,0.7,3049,37,30,TIME,0.00,-1.38.00,0.00
14/08/2016 09:53:35,62.149.145.24,0008800D-4D335719-20303038,bagno,0.7,3051,27,255,TIME,0.00,-1.39.00,0.00
14/08/2016 09:33:16,62.149.145.23,0010800B-4D335719-20303038,sala_small,0.8,2960,37,31,TIME,0.00,-1.38.00,0.00
14/08/2016 09:22:01,62.149.145.23,0007800C-4D335719-20303038,studiolo,0.8,2876,36,28,TIME,0.00,-1.01.00,0.00
14/08/2016 09:02:59,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2927,26,18,TIME,0.00,-1.38.00,0.00
14/08/2016 06:32:04,62.149.145.19,00080003-4D335719-20303038,camera_max,0.7,3056,22,255,TIME,0.00,-1.05.00,0.00
14/08/2016 05:59:50,62.149.145.22,00440005-4D335719-20303038,corridoio,0.7,3055,23,255,TIME,0.00,-1.02.00,0.00
14/08/2016 05:13:36,62.149.145.24,00228019-4D335719-20303038,camera_manu,0.7,3051,22,255,TIME,0.00,-1.02.00,0.00
14/08/2016 05:10:34,62.149.145.24,00310015-4D335719-20303038,sala_big,0.7,3053,23,255,TIME,0.00,-1.38.00,0.00
14/08/2016 04:57:37,62.149.145.24,0008800D-4D335719-20303038,bagno,0.7,3053,24,255,TIME,0.00,-1.38.00,0.00
14/08/2016 04:35:26,62.149.145.24,0010800B-4D335719-20303038,sala_small,0.8,2924,22,15,TIME,0.00,-1.38.00,0.00
14/08/2016 04:27:30,62.149.145.24,0007800C-4D335719-20303038,studiolo,0.8,2839,22,15,TIME,0.00,-1.03.00,0.00
14/08/2016 04:02:31,62.149.145.20,0041001D-4D335719-20303038,cucina,0.8,2930,26,18,TIME,0.00,-1.38.00,0.00
14/08/2016 01:29:22,62.149.145.23,00080003-4D335719-20303038,camera_max,0.7,3056,25,255,TIME,0.00,-1.05.00,0.00
14/08/2016 00:59:57,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3053,25,255,TIME,0.00,-1.02.00,0.00
14/08/2016 00:14:02,62.149.145.21,00228019-4D335719-20303038,camera_manu,0.7,3055,24,255,TIME,0.00,-1.02.00,0.00
14/08/2016 00:08:48,62.149.145.21,00310015-4D335719-20303038,sala_big,0.7,3056,26,255,TIME,0.00,-1.38.00,0.00
14/08/2016 00:01:38,62.149.145.21,0008800D-4D335719-20303038,bagno,0.7,3057,28,255,TIME,0.00,-1.38.00,0.00
13/08/2016 23:37:19,62.149.145.24,0010800B-4D335719-20303038,sala_small,0.8,2941,25,18,TIME,0.00,-1.38.00,0.00
13/08/2016 23:32:43,62.149.145.24,0007800C-4D335719-20303038,studiolo,0.8,2893,26,17,TIME,0.00,-1.01.00,0.00
13/08/2016 23:02:09,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2908,29,22,TIME,0.00,-1.38.00,0.00
13/08/2016 20:26:47,62.149.145.23,00080003-4D335719-20303038,camera_max,0.7,3059,29,255,TIME,0.00,-1.04.00,0.00
13/08/2016 20:00:10,62.149.145.20,00440005-4D335719-20303038,corridoio,0.7,3057,30,255,TIME,0.00,-1.02.00,0.00
13/08/2016 19:14:36,62.149.145.22,00228019-4D335719-20303038,camera_manu,0.7,3057,30,255,TIME,0.00,-1.02.00,0.00
13/08/2016 19:07:13,62.149.145.22,00310015-4D335719-20303038,sala_big,0.7,3053,30,255,TIME,0.00,-1.38.00,0.00
13/08/2016 19:06:14,62.149.145.22,0008800D-4D335719-20303038,bagno,0.7,3051,44,37,TIME,0.00,-1.38.00,0.00
13/08/2016 18:39:13,62.149.145.20,0010800B-4D335719-20303038,sala_small,0.8,2956,30,24,TIME,0.00,-1.38.00,0.00
13/08/2016 18:37:59,62.149.145.20,0007800C-4D335719-20303038,studiolo,0.8,2918,30,23,TIME,0.00,-1.01.00,0.00
13/08/2016 18:02:10,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2983,36,29,TIME,0.00,-1.38.00,0.00
13/08/2016 15:24:31,62.149.145.20,00080003-4D335719-20303038,camera_max,0.7,3058,32,26,TIME,0.00,-1.05.00,0.00
13/08/2016 15:00:45,62.149.145.24,00440005-4D335719-20303038,corridoio,0.7,3048,28,255,TIME,0.00,-1.02.00,0.00
13/08/2016 14:15:27,62.149.145.22,00228019-4D335719-20303038,camera_manu,0.7,3059,31,26,TIME,0.00,-1.02.00,0.00
13/08/2016 14:11:53,62.149.145.22,0008800D-4D335719-20303038,bagno,0.7,3044,30,255,TIME,0.00,-1.39.00,0.00
13/08/2016 14:05:53,62.149.145.22,00310015-4D335719-20303038,sala_big,0.7,3053,32,25,TIME,0.00,-1.38.00,0.00
13/08/2016 13:43:31,62.149.145.21,0007800C-4D335719-20303038,studiolo,0.8,2928,32,24,TIME,0.00,-1.01.00,0.00
13/08/2016 13:41:14,62.149.145.21,0010800B-4D335719-20303038,sala_small,0.8,2974,32,26,TIME,0.00,-1.38.00,0.00
13/08/2016 13:02:48,62.149.145.21,0041001D-4D335719-20303038,cucina,0.8,2956,38,31,TIME,0.00,-1.38.00,0.00
13/08/2016 10:22:47,62.149.145.20,00080003-4D335719-20303038,camera_max,0.7,3046,39,32,TIME,0.00,-1.05.00,0.00
13/08/2016 10:01:02,62.149.145.20,00440005-4D335719-20303038,corridoio,0.7,3048,25,255,TIME,0.00,-1.02.00,0.00
13/08/2016 09:17:01,62.149.145.21,00228019-4D335719-20303038,camera_manu,0.7,3044,37,31,TIME,0.00,-1.02.00,0.00
13/08/2016 09:16:14,62.149.145.21,0008800D-4D335719-20303038,bagno,0.7,3046,25,255,TIME,0.00,-1.39.00,0.00
13/08/2016 09:05:10,62.149.145.21,00310015-4D335719-20303038,sala_big,0.7,3040,26,255,TIME,0.00,-1.39.00,0.00
13/08/2016 08:49:49,62.149.145.21,0007800C-4D335719-20303038,studiolo,0.8,2860,32,24,TIME,0.00,-1.01.00,0.00
13/08/2016 08:43:52,62.149.145.21,0010800B-4D335719-20303038,sala_small,0.8,2942,33,27,TIME,0.00,-1.38.00,0.00
13/08/2016 08:02:41,62.149.145.19,0041001D-4D335719-20303038,cucina,0.8,2915,23,15,TIME,0.00,-1.00.00,0.00
13/08/2016 05:20:40,62.149.145.23,00080003-4D335719-20303038,camera_max,0.7,3048,22,255,TIME,0.00,-1.05.00,0.00
13/08/2016 05:01:10,62.149.145.23,00440005-4D335719-20303038,corridoio,0.7,3050,22,255,TIME,0.00,-1.02.00,0.00
13/08/2016 04:20:12,62.149.145.21,0008800D-4D335719-20303038,bagno,0.7,3053,23,255,TIME,0.00,-1.38.00,0.00
13/08/2016 04:17:46,62.149.145.21,00228019-4D335719-20303038,camera_manu,0.7,3048,21,255,TIME,0.00,-1.02.00,0.00
13/08/2016 04:03:26,62.149.145.21,00310015-4D335719-20303038,sala_big,0.7,3043,22,255,TIME,0.00,-1.38.00,0.00
13/08/2016 03:55:09,62.149.145.21,0007800C-4D335719-20303038,studiolo,0.8,2826,22,13,TIME,0.00,-1.01.00,0.00
13/08/2016 03:45:56,62.149.145.21,0010800B-4D335719-20303038,sala_small,0.8,2919,21,14,TIME,0.00,-1.38.00,0.00
13/08/2016 03:02:16,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2895,25,16,TIME,0.00,-1.38.00,0.00
13/08/2016 00:18:00,62.149.145.19,00080003-4D335719-20303038,camera_max,0.7,3052,24,255,TIME,0.00,-1.05.00,0.00
13/08/2016 00:01:15,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3051,25,255,TIME,0.00,-1.02.00,0.00
12/08/2016 23:24:12,62.149.145.22,0008800D-4D335719-20303038,bagno,0.7,3055,27,255,TIME,0.00,-1.38.00,0.00
12/08/2016 23:18:12,62.149.145.22,00228019-4D335719-20303038,camera_manu,0.7,3051,24,255,TIME,0.00,-1.02.00,0.00
12/08/2016 23:01:40,62.149.145.22,00310015-4D335719-20303038,sala_big,0.7,3043,26,255,TIME,0.00,-1.38.00,0.00
12/08/2016 23:00:21,62.149.145.22,0007800C-4D335719-20303038,studiolo,0.8,2878,24,16,TIME,0.00,-1.01.00,0.00
12/08/2016 22:47:50,62.149.145.22,0010800B-4D335719-20303038,sala_small,0.8,2934,25,17,TIME,0.00,-1.38.00,0.00
12/08/2016 22:01:58,62.149.145.20,0041001D-4D335719-20303038,cucina,0.8,2949,28,21,TIME,0.00,-1.00.00,0.00
12/08/2016 19:15:27,62.149.145.23,00080003-4D335719-20303038,camera_max,0.7,3046,29,255,TIME,0.00,-1.04.00,0.00
12/08/2016 19:01:31,62.149.145.23,00440005-4D335719-20303038,corridoio,0.7,3050,35,28,TIME,0.00,-1.03.00,0.00
12/08/2016 18:28:54,62.149.145.22,0008800D-4D335719-20303038,bagno,0.7,3002,40,33,TIME,0.00,-1.38.00,0.00
12/08/2016 18:18:44,62.149.145.22,00228019-4D335719-20303038,camera_manu,0.7,3053,30,255,TIME,0.00,-1.02.00,0.00
12/08/2016 18:05:34,62.149.145.22,0007800C-4D335719-20303038,studiolo,0.8,2899,30,22,TIME,0.00,-1.01.00,0.00
12/08/2016 18:00:05,62.149.145.22,00310015-4D335719-20303038,sala_big,0.7,3042,30,255,TIME,0.00,-1.38.00,0.00
12/08/2016 17:49:44,62.149.145.22,0010800B-4D335719-20303038,sala_small,0.8,2955,29,23,TIME,0.00,-1.38.00,0.00
12/08/2016 17:01:50,62.149.145.19,0041001D-4D335719-20303038,cucina,0.8,2922,37,29,TIME,0.00,-1.38.00,0.00
12/08/2016 14:13:09,62.149.145.21,00080003-4D335719-20303038,camera_max,0.7,3054,31,25,TIME,0.00,-1.04.00,0.00
12/08/2016 14:01:55,62.149.145.21,00440005-4D335719-20303038,corridoio,0.7,3050,27,255,TIME,0.00,-1.02.00,0.00
12/08/2016 13:34:02,62.149.145.20,0008800D-4D335719-20303038,bagno,0.7,3000,28,255,TIME,0.00,-1.39.00,0.00
12/08/2016 13:19:31,62.149.145.20,00228019-4D335719-20303038,camera_manu,0.7,3053,31,255,TIME,0.00,-1.02.00,0.00
12/08/2016 13:11:08,62.149.145.20,0007800C-4D335719-20303038,studiolo,0.8,2871,32,24,TIME,0.00,-1.01.00,0.00
12/08/2016 12:58:46,62.149.145.20,00310015-4D335719-20303038,sala_big,0.7,3032,34,26,TIME,0.00,-1.38.00,0.00
12/08/2016 12:51:44,62.149.145.20,0010800B-4D335719-20303038,sala_small,0.8,2974,34,28,TIME,0.00,-1.38.00,0.00
12/08/2016 12:02:28,62.149.145.20,0041001D-4D335719-20303038,cucina,0.8,2914,32,25,TIME,0.00,-1.38.00,0.00
12/08/2016 09:11:22,62.149.145.24,00080003-4D335719-20303038,camera_max,0.7,3041,33,27,TIME,0.00,-1.05.00,0.00
12/08/2016 09:02:08,62.149.145.24,00440005-4D335719-20303038,corridoio,0.7,3046,23,255,TIME,0.00,-1.02.00,0.00
12/08/2016 08:38:16,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3033,24,255,TIME,0.00,-1.39.00,0.00
12/08/2016 08:20:56,62.149.145.19,00228019-4D335719-20303038,camera_manu,0.7,3042,30,25,TIME,0.00,-1.02.00,0.00
12/08/2016 08:17:22,62.149.145.19,0007800C-4D335719-20303038,studiolo,0.8,2837,27,19,TIME,0.00,-1.01.00,0.00
12/08/2016 07:57:45,62.149.145.19,00310015-4D335719-20303038,sala_big,0.7,3045,22,255,TIME,0.00,-1.38.00,0.00
12/08/2016 07:54:11,62.149.145.19,0010800B-4D335719-20303038,sala_small,0.8,2924,28,20,TIME,0.00,-1.38.00,0.00
12/08/2016 07:02:16,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2915,22,14,TIME,0.00,-1.00.00,0.00
12/08/2016 06:33:26,62.149.145.21,00080011-4D335719-20303038,free_1,0.8,2749,28,22,TIME,0.00,0.00,1.07
12/08/2016 04:08:54,62.149.145.19,00080003-4D335719-20303038,camera_max,0.7,3043,21,255,TIME,0.00,-1.05.00,0.00
12/08/2016 04:02:11,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3051,22,255,TIME,0.00,-1.03.00,0.00
12/08/2016 03:42:13,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3025,22,255,TIME,0.00,-1.38.00,0.00
12/08/2016 03:22:33,62.149.145.19,0007800C-4D335719-20303038,studiolo,0.8,2831,20,13,TIME,0.00,-1.01.00,0.00
12/08/2016 03:21:28,62.149.145.19,00228019-4D335719-20303038,camera_manu,0.7,3046,21,255,TIME,0.00,-1.02.00,0.00
12/08/2016 02:56:12,62.149.145.20,0010800B-4D335719-20303038,sala_small,0.8,2917,20,13,TIME,0.00,-1.38.00,0.00
12/08/2016 02:55:57,62.149.145.20,00310015-4D335719-20303038,sala_big,0.7,3045,21,255,TIME,0.00,-1.38.00,0.00
12/08/2016 02:01:47,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2929,24,16,TIME,0.00,-1.38.00,0.00
12/08/2016 01:34:38,62.149.145.22,00080011-4D335719-20303038,free_1,0.8,2755,29,23,TIME,0.00,0.00,1.07
11/08/2016 23:06:11,62.149.145.23,00080003-4D335719-20303038,camera_max,0.7,3052,23,255,TIME,0.00,-1.04.00,0.00
11/08/2016 23:02:13,62.149.145.23,00440005-4D335719-20303038,corridoio,0.7,3055,24,255,TIME,0.00,-1.02.00,0.00
11/08/2016 22:46:08,62.149.145.23,0008800D-4D335719-20303038,bagno,0.7,3044,26,255,TIME,0.00,-1.38.00,0.00
11/08/2016 22:27:35,62.149.145.23,0007800C-4D335719-20303038,studiolo,0.8,2831,23,16,TIME,0.00,-1.01.00,0.00
11/08/2016 22:21:53,62.149.145.23,00228019-4D335719-20303038,camera_manu,0.7,3046,23,255,TIME,0.00,-1.02.00,0.00
11/08/2016 21:58:05,62.149.145.20,0010800B-4D335719-20303038,sala_small,0.8,2936,23,16,TIME,0.00,-1.38.00,0.00
11/08/2016 21:54:09,62.149.145.20,00310015-4D335719-20303038,sala_big,0.7,3047,25,255,TIME,0.00,-1.38.00,0.00
11/08/2016 21:01:17,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2955,29,21,TIME,0.00,-1.00.00,0.00
11/08/2016 20:35:51,62.149.145.19,00080011-4D335719-20303038,free_1,0.8,2756,29,22,TIME,0.00,0.00,1.07
11/08/2016 18:03:36,62.149.145.19,00080003-4D335719-20303038,camera_max,0.7,3050,29,255,TIME,0.00,-1.05.00,0.00
11/08/2016 18:02:34,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3048,30,255,TIME,0.00,-1.03.00,0.00
11/08/2016 17:51:00,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,2965,40,34,TIME,0.00,-1.39.00,0.00
11/08/2016 17:32:56,62.149.145.19,0007800C-4D335719-20303038,studiolo,0.8,2863,28,20,TIME,0.00,-1.01.00,0.00
11/08/2016 17:22:26,62.149.145.19,00228019-4D335719-20303038,camera_manu,0.7,3046,28,255,TIME,0.00,-1.02.00,0.00
11/08/2016 16:59:59,62.149.145.21,0010800B-4D335719-20303038,sala_small,0.8,2958,28,21,TIME,0.00,-1.38.00,0.00
11/08/2016 16:52:34,62.149.145.21,00310015-4D335719-20303038,sala_big,0.7,3045,29,255,TIME,0.00,-1.38.00,0.00
11/08/2016 16:01:06,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2981,37,30,TIME,0.00,-1.38.00,0.00
11/08/2016 15:37:06,62.149.145.20,00080011-4D335719-20303038,free_1,0.8,2758,29,23,TIME,0.00,0.00,1.07
11/08/2016 13:02:52,62.149.145.20,00440005-4D335719-20303038,corridoio,0.7,3048,27,255,TIME,0.00,-1.04.00,0.00
11/08/2016 13:01:19,62.149.145.20,00080003-4D335719-20303038,camera_max,0.7,3058,31,26,TIME,0.00,-1.04.00,0.00
11/08/2016 12:55:54,62.149.145.20,0008800D-4D335719-20303038,bagno,0.7,3044,28,255,TIME,0.00,-1.39.00,0.00
11/08/2016 12:38:25,62.149.145.20,0007800C-4D335719-20303038,studiolo,0.8,2961,33,26,TIME,0.00,-1.01.00,0.00
11/08/2016 12:23:18,62.149.145.20,00228019-4D335719-20303038,camera_manu,0.7,3053,34,28,TIME,0.00,-1.02.00,0.00
11/08/2016 12:02:02,62.149.145.24,0010800B-4D335719-20303038,sala_small,0.8,2983,36,30,TIME,0.00,-1.38.00,0.00
11/08/2016 11:51:21,62.149.145.24,00310015-4D335719-20303038,sala_big,0.7,3032,37,29,TIME,0.00,-1.38.00,0.00
11/08/2016 11:01:21,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2939,30,22,TIME,0.00,-1.00.00,0.00
11/08/2016 10:38:19,62.149.145.22,00080011-4D335719-20303038,free_1,0.8,2759,29,23,TIME,0.00,0.00,1.07
11/08/2016 08:03:07,62.149.145.21,00440005-4D335719-20303038,corridoio,0.7,3050,23,255,TIME,0.00,-1.03.00,0.00
11/08/2016 08:00:11,62.149.145.21,0008800D-4D335719-20303038,bagno,0.7,3049,24,255,TIME,0.00,-1.39.00,0.00
11/08/2016 07:59:43,62.149.145.21,00080003-4D335719-20303038,camera_max,0.7,3048,28,255,TIME,0.00,-1.03.00,0.00
11/08/2016 07:44:10,62.149.145.21,0007800C-4D335719-20303038,studiolo,0.8,2889,23,15,TIME,0.00,-1.01.00,0.00
11/08/2016 07:24:49,62.149.145.21,00228019-4D335719-20303038,camera_manu,0.7,3040,26,255,TIME,0.00,-1.00.00,0.00
11/08/2016 07:04:32,62.149.145.23,0010800B-4D335719-20303038,sala_small,0.8,2927,23,16,TIME,0.00,-1.38.00,0.00
11/08/2016 06:50:18,62.149.145.23,00310015-4D335719-20303038,sala_big,0.7,3040,23,255,TIME,0.00,-1.39.00,0.00
11/08/2016 06:00:57,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2934,23,16,TIME,0.00,-1.38.00,0.00
11/08/2016 05:39:33,62.149.145.24,00080011-4D335719-20303038,free_1,0.8,2762,29,23,TIME,0.00,0.00,1.07
11/08/2016 03:04:16,62.149.145.24,0008800D-4D335719-20303038,bagno,0.7,3055,24,255,TIME,0.00,-1.39.00,0.00
